feature,coefficient,absolute_coefficient,direction
categorical__market_segment_Groups,-0.16014796496098674,0.16014796496098674,lower cancellation score
categorical__agent_310,-0.15871592966199935,0.15871592966199935,lower cancellation score
categorical__agent_NoAgent,-0.15696734157685063,0.15696734157685063,lower cancellation score
categorical__agent_375,0.15501560689262203,0.15501560689262203,higher cancellation score
categorical__agent_211,-0.15378082849864227,0.15378082849864227,lower cancellation score
categorical__agent_14,0.15103870417397122,0.15103870417397122,higher cancellation score
categorical__agent_438,-0.14917058306768408,0.14917058306768408,lower cancellation score
categorical__agent_21,-0.14788896004597946,0.14788896004597946,lower cancellation score
categorical__country_ISR,-0.1471751855007131,0.1471751855007131,lower cancellation score
categorical__market_segment_Complementary,0.13907409168117169,0.13907409168117169,higher cancellation score
categorical__country_IRN,-0.12753792524413388,0.12753792524413388,lower cancellation score
categorical__agent_41,0.12016446913810783,0.12016446913810783,higher cancellation score
categorical__country_BEN,0.11987237264074872,0.11987237264074872,higher cancellation score
categorical__agent_426,-0.11968404723181224,0.11968404723181224,lower cancellation score
log_numeric__adr,0.1185874548782839,0.1185874548782839,higher cancellation score
categorical__agent_275,-0.11667974956131204,0.11667974956131204,lower cancellation score
categorical__agent_210,0.10978705943180317,0.10978705943180317,higher cancellation score
categorical__agent_324,0.10778844133372888,0.10778844133372888,higher cancellation score
categorical__country_VGB,0.10534177953472461,0.10534177953472461,higher cancellation score
categorical__agent_60,0.10502820707851561,0.10502820707851561,higher cancellation score
categorical__customer_type_Group,0.10216838734513646,0.10216838734513646,higher cancellation score
categorical__agent_170,0.10211620113558127,0.10211620113558127,higher cancellation score
categorical__agent_325,-0.09344003114315658,0.09344003114315658,lower cancellation score
categorical__agent_61,-0.08519018333924105,0.08519018333924105,lower cancellation score
categorical__country_ZWE,-0.08197512868042983,0.08197512868042983,lower cancellation score
categorical__agent_229,0.08194196826537978,0.08194196826537978,higher cancellation score
categorical__country_TUR,0.0813007131881423,0.0813007131881423,higher cancellation score
categorical__agent_162,0.08042193358831919,0.08042193358831919,higher cancellation score
categorical__agent_295,-0.078573005479519,0.078573005479519,lower cancellation score
categorical__reserved_room_type_G,-0.07792561473926672,0.07792561473926672,lower cancellation score
numeric__stays_in_week_nights,-0.07789489747077191,0.07789489747077191,lower cancellation score
categorical__agent_25,-0.07715382097114787,0.07715382097114787,lower cancellation score
log_numeric__previous_bookings_not_canceled,0.07646697043661796,0.07646697043661796,higher cancellation score
numeric__arrival_month_sin,-0.07633383671662673,0.07633383671662673,lower cancellation score
categorical__country_RUS,-0.07587876051555682,0.07587876051555682,lower cancellation score
categorical__agent_454,-0.07551745179818581,0.07551745179818581,lower cancellation score
categorical__agent_55,0.07107504709767144,0.07107504709767144,higher cancellation score
categorical__country_ESP,-0.06961982956988506,0.06961982956988506,lower cancellation score
categorical__agent_370,-0.06838524127864667,0.06838524127864667,lower cancellation score
categorical__agent_371,-0.06213035816667783,0.06213035816667783,lower cancellation score
categorical__agent_495,0.06099498945123901,0.06099498945123901,higher cancellation score
categorical__country_DZA,-0.06048022876666358,0.06048022876666358,lower cancellation score
log_numeric__previous_bookings_total,-0.054479622334681836,0.054479622334681836,lower cancellation score
log_numeric__total_guests,0.053568351047880866,0.053568351047880866,higher cancellation score
categorical__agent_287,0.049399100763140996,0.049399100763140996,higher cancellation score
log_numeric__previous_cancellations,-0.04653708014152142,0.04653708014152142,lower cancellation score
categorical__agent_250,-0.04602102429733698,0.04602102429733698,lower cancellation score
numeric__is_repeated_guest,-0.045887509749341686,0.045887509749341686,lower cancellation score
categorical__reserved_room_type_E,-0.04510578878628061,0.04510578878628061,lower cancellation score
categorical__country_SYR,-0.040583357589434085,0.040583357589434085,lower cancellation score
categorical__agent_106,-0.03983580161163095,0.03983580161163095,lower cancellation score
categorical__meal_FB,-0.03783183549813407,0.03783183549813407,lower cancellation score
categorical__distribution_channel_TA/TO,-0.03665118285821831,0.03665118285821831,lower cancellation score
categorical__agent_257,0.0353477470314523,0.0353477470314523,higher cancellation score
categorical__agent_254,0.035187235160912884,0.035187235160912884,higher cancellation score
categorical__agent_129,-0.03350663567007076,0.03350663567007076,lower cancellation score
categorical__agent_182,0.031832927613548806,0.031832927613548806,higher cancellation score
