candidate,family,fold,train_rows,validation_rows,training_canceled,validation_canceled,validation_membership_sha256,f1,accuracy,precision,recall,roc_auc,tn,fp,fn,tp,training_f1
rf_08,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6052672347017816,0.7872144974737985,0.8803515096890491,0.461166194523135,0.8704346951091275,14946,531,4565,3907,0.7593776111650595
rf_09,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6671152983400628,0.8136692755200268,0.9291814205373881,0.520354601656363,0.8987987858231212,14980,340,4112,4461,0.9156931229676021
rf_09,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.6327430430068667,0.7862971063257066,0.8810386473429952,0.4936280590955227,0.8929699883817546,14318,591,4490,4377,0.8944638764925823
rf_09,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6888230021374888,0.8115578938577811,0.8282208588957055,0.5895892351274787,0.8920896693823843,14441,1036,3477,4995,0.8664048326322296
rf_10,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6666666666666666,0.8132925961578705,0.9274428274428275,0.520354601656363,0.8785202320175156,14971,349,4112,4461,0.8859934853420195
rf_10,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.6113473097786248,0.7770020188425303,0.8732984293193717,0.47028307206495995,0.8893029955202911,14304,605,4697,4170,0.8682548882042522
rf_10,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6849958552086212,0.8095953902041839,0.8257828114590273,0.5852219074598678,0.8876123365732684,14431,1046,3514,4958,0.844560635538262
rf_11,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6645545749415404,0.8138785418323359,0.9404355251921435,0.5138224658812551,0.9019986735025471,15041,279,4168,4405,0.987300477688454
rf_11,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.6272512547977561,0.7876009421265141,0.9077120273445844,0.4791925115597158,0.8955872082370199,14477,432,4618,4249,0.9902935261025446
rf_11,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6605054151624549,0.8036661238465072,0.850502045370026,0.5398961284230406,0.884679487695745,14673,804,3898,4574,0.9924687800192123
rf_12,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6690061972672291,0.8144644875068011,0.9294605809128631,0.5225708620086318,0.8854646235875032,14980,340,4093,4480,0.8897296637578569
rf_12,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.6484457976350634,0.7911759757738897,0.8711948249619482,0.516409157550468,0.8936786483237207,14232,677,4288,4579,0.8730848111955604
rf_12,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6904286795568706,0.8121424694141718,0.8277511961722488,0.5921860245514636,0.8899603636771198,14433,1044,3455,5017,0.8541181620997751
